Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L12     S2      
4-6     20      1.2681  0       0       0       43.056  8.5921  99.59   5.4188  0.5712  
4-7     2       5.8302  0       0       0       19.298  -54.02  99.02   5.3975  0.4103  
4-8     7       1.7678  0       0       0       61.055  29.93   99.67   5.569   0.5322  
4-9     18      1.392   0       0       0       36.556  -4.588  99.43   5.5364  0.4323  
4-10    26      1.1185  0       0       0       45.181  -2.267  99.51   5.6     0.4     
4-11    24      1.2176  0       0       0       42.666  5.4011  99.51   5.5513  0.454   
4-12    9       1.684   0       0       0       44.348  24.169  99.67   5.2102  0.8     
4-13    15      1.4457  0       0       0       35.251  -4.963  99.49   5.4269  0.5157  
4-14    12      1.5462  0       0       0       55.194  22.482  99.62   5.5902  0.4845  
4-15    6       2.1046  0       0       0       28.161  -18.42  99.37   5.3861  0.5011  
4-16    14      1.5102  0       0       0       53.912  21.197  99.62   5.5669  0.499   
4-17    17      1.4395  0       0       0       35.321  -4.64   99.49   5.4179  0.5237  
4-18    10      1.6201  0       0       0       57.355  25.03   99.63   5.6     0.4862  
4-19    28      1.1019  0       0       0       45.669  -1.663  99.53   5.5904  0.4094  
4-20    23      1.2286  0       0       0       42.31   5.553   99.54   5.5082  0.4889  
4-21    8       1.8349  0       0       0       49.504  30.66   99.69   5.2487  0.8     
4-22    16      1.4457  0       0       0       35.251  -4.963  99.49   5.4269  0.5157  
4-23    3       3.3987  0       0       0       106.41  76.323  99.81   5.5587  0.8     
4-24    1       6.2872  0       0       0       18.589  -56.09  98.97   5.4046  0.4     
4-25    11      1.5875  0       0       0       56.263  23.924  99.63   5.5836  0.4957  
4-26    30      1.0613  0       0       0       48.842  2.7026  99.56   5.5954  0.4184  
4-27    29      1.0876  0       0       0       46.095  -1.015  99.53   5.5967  0.4063  
4-28    25      1.135   0       0       0       44.763  -2.916  99.51   5.5937  0.4031  
4-29    13      1.5819  0       0       0       33.2    -8.548  99.46   5.4124  0.5144  
4-30    4       2.6248  0       0       0       79.608  55.919  99.76   5.5266  0.697   
---------------------------------------------------------------------
Average :       1.852   0       0       0       47.2    7.845   99.54   
Optimum :       1.061   0       0       0       49.5    -1.01   99.81   
 
